1.0000000000	2252.5018451807	1288.767201	31.9808751257	18.0000000000	0.0000000000	3.0000000000	15.0000000000	1788.0000000000	25851.0000000000
5.0000000000	3159.1930304135	1573.514925	35.1464816669	51.0000000000	0.0000000000	9.0000000000	42.0000000000	1951.0000000000	26029.0000000000
10.0000000000	4249.3884510956	1880.480215	38.0444408506	144.0000000000	0.0000000000	18.0000000000	126.0000000000	2093.0000000000	26171.0000000000
50.0000000000	12654.5107856676	4351.735343	62.9038065646	477.0000000000	5.0000000000	54.0000000000	418.0000000000	3324.0000000000	27405.0000000000
100.0000000000	21046.5649266463	6907.881234	92.2834054659	557.0000000000	16.0000000000	109.0000000000	432.0000000000	4905.0000000000	29975.0000000000
200.0000000000	32760.6409137957	10139.522922	126.0623543559	905.0000000000	22.0000000000	176.0000000000	707.0000000000	6754.0000000000	34074.0000000000
500.0000000000	52230.5954364314	16232.922593	199.4510116682	1323.0000000000	39.0000000000	318.0000000000	966.0000000000	10788.0000000000	51848.0000000000
1000.0000000000	72347.7384551788	22086.003213	273.1335265308	1627.0000000000	64.0000000000	434.0000000000	1129.0000000000	14770.0000000000	65370.0000000000
2000.0000000000	98371.1109472885	29495.197600	361.5364290267	2193.0000000000	102.0000000000	662.0000000000	1429.0000000000	20256.0000000000	68242.0000000000
5000.0000000000	130673.5221243226	39337.986997	496.9033240169	2701.0000000000	161.0000000000	885.0000000000	1655.0000000000	29640.0000000000	73192.0000000000
8000.0000000000	148690.4094912779	45069.445320	602.4324714795	3099.0000000000	211.0000000000	1058.0000000000	1830.0000000000	40108.0000000000	75114.0000000000
10000.0000000000	156286.9022789793	47733.314703	661.2840187856	3281.0000000000	233.0000000000	1133.0000000000	1915.0000000000	46675.0000000000	75486.0000000000
12000.0000000000	162746.4014167633	50744.700497	722.6357150159	3330.0000000000	236.0000000000	1151.0000000000	1943.0000000000	49207.0000000000	75527.0000000000
15000.0000000000	172188.5113326346	53510.235618	742.2814840183	3330.0000000000	236.0000000000	1151.0000000000	1943.0000000000	50990.0000000000	75527.0000000000
20000.0000000000	186948.3422615755	57633.887050	813.9333452279	3565.0000000000	266.0000000000	1244.0000000000	2055.0000000000	57096.0000000000	76404.0000000000
30000.0000000000	207728.7147075931	64435.531667	919.5835636004	3863.0000000000	308.0000000000	1368.0000000000	2187.0000000000	63290.0000000000	78195.0000000000
40000.0000000000	223693.2383606415	69838.040607	1014.4480779288	3957.0000000000	330.0000000000	1408.0000000000	2219.0000000000	67813.0000000000	79300.0000000000
50000.0000000000	237900.8277732396	74768.350192	1101.7741796520	4119.0000000000	360.0000000000	1472.0000000000	2287.0000000000	71199.0000000000	80127.0000000000
